Date,Team,Acq,Rel,Notes,Acquired,Relinquished
1/4/2013,Raiders,,• Mike Goodson,"fined $7,875 by NFL",#VALUE!,Mike Goodson
1/4/2013,Redskins,,• Saverio Rocca / Sav Rocca,"fined $7,875 by NFL",#VALUE!,Saverio Rocca / Sav Rocca
1/7/2013,Ravens,• Asa Jackson,,reinstated from suspension,Asa Jackson,#VALUE!
1/11/2013,Redskins,,• Trent Williams,"fined $7,875 by NFL",#VALUE!,Trent Williams
1/18/2013,49ers,,• Dashon Goldson,"fined $10,000 by NFL",#VALUE!,Dashon Goldson
1/18/2013,Patriots,,• Stephen Gostkowski,"fined $15,750 by NFL",#VALUE!,Stephen Gostkowski
1/18/2013,Patriots,,• Steve Gregory,"fined $15,750 by NFL",#VALUE!,Steve Gregory
1/18/2013,Ravens,,• Chykie Brown,"fined $15,750 by NFL",#VALUE!,Chykie Brown
1/22/2013,Saints,• Sean Payton,,reinstated as head coach from suspension,Sean Payton,#VALUE!
2/4/2013,Broncos,• Quentin Saulsberry,,reinstated from suspension,Quentin Saulsberry,#VALUE!
2/4/2013,Redskins,• Jordan Black,,reinstated from suspension,Jordan Black,#VALUE!
2/7/2013,,• Gregg Williams,,reinstated from suspension by NFL,Gregg Williams,#VALUE!
2/13/2013,Cardinals,,• Javarris James,suspended by NFL for 4 games for violating the substance abuse policy,#VALUE!,Javarris James
3/4/2013,Packers,• Johnny Jolly,,reinstated from suspension,Johnny Jolly,#VALUE!
3/13/2013,,,• Deuce Lutui,suspended by NFL for 4 games,#VALUE!,Deuce Lutui
3/20/2013,Redskins,,• Rob Jackson,suspended by NFL for 4 games,#VALUE!,Rob Jackson
4/1/2013,Ravens,,• Christian Thompson,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Christian Thompson
4/3/2013,Cardinals,,• Daryl Washington,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Daryl Washington
4/19/2013,,,• James Sanders,suspended by NFL for 4 games,#VALUE!,James Sanders
4/19/2013,,,• Larry Grant (a),suspended by NFL for 4 games,#VALUE!,Larry Grant (a)
4/24/2013,,• Patrick Williams / Pat Williams (b. 1986-01-19),,reinstated from suspension,Patrick Williams / Pat Williams (b. 1986-01-19),#VALUE!
4/30/2013,Jaguars,,• Justin Blackmon,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Justin Blackmon
5/17/2013,Seahawks,,• Bruce Irvin,suspended by NFL for 4 games for violation of league policy on performance enhancing drugs,#VALUE!,Bruce Irvin
5/22/2013,Rams,,• Rokevious Watkins,suspended by NFL for 1 games,#VALUE!,Rokevious Watkins
5/31/2013,Rams,,• Isaiah Pead,suspended by NFL for 1 games for violating the league's substance abuse policy,#VALUE!,Isaiah Pead
6/4/2013,Bears,,• Gabe Miller,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Gabe Miller
6/7/2013,Browns,,• Josh Gordon,suspended by NFL for 2 games for violating the league's substance abuse policy,#VALUE!,Josh Gordon
6/24/2013,Colts,,• LaVon Brazill,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,LaVon Brazill
6/24/2013,Giants,,• Brandon Collins,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Brandon Collins
7/15/2013,Broncos,,• Matt Russell,suspended as director of player personnel by team indefinitely for suspicion of drunken driving,#VALUE!,Matt Russell
7/15/2013,Broncos,,• Tom Heckert,suspended as director of pro personnel by team indefinitely for suspicion of drunken driving,#VALUE!,Tom Heckert
7/17/2013,,,• Bert Reed (b. 1988-06-01),suspended by NFL for 4 games,#VALUE!,Bert Reed (b. 1988-06-01)
7/18/2013,Colts,,• Weslye Saunders,suspended by NFL for 8 games for violating the league's policy on performance enhancing drugs,#VALUE!,Weslye Saunders
7/20/2013,Giants,,• Will Hill III,suspended by NFL for 4 games for violation of the league policy on performance enhancing drugs,#VALUE!,Will Hill III
7/26/2013,Redskins,,• Jarvis Jenkins,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Jarvis Jenkins
7/27/2013,Raiders,,• Andre Holmes,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Andre Holmes
7/29/2013,Titans,,• Justin Hilton,suspended by NFL,#VALUE!,Justin Hilton
8/1/2013,Vikings,,• Demarcus Love,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Demarcus Love
8/2/2013,Eagles,,• Riley Cooper,player excused from all team activities after being caught on video making racial slur,#VALUE!,Riley Cooper
8/2/2013,Ravens,,• Asa Jackson,suspended by NFL for 8 games for violating the league's policy on performance enhancing drugs,#VALUE!,Asa Jackson
8/5/2013,,,• Semaj Moody,suspended by NFL,#VALUE!,Semaj Moody
8/6/2013,Eagles,• Riley Cooper,,reinstated,Riley Cooper,#VALUE!
8/14/2013,49ers,,• Demarcus Dobbs,suspended by NFL for 1 games for violating the league's substance abuse policy,#VALUE!,Demarcus Dobbs
8/14/2013,Rams,,• Jo-Lonn Dunbar,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Jo-Lonn Dunbar
8/20/2013,Broncos,,• Von Miller,suspended by NFL for 6 games for violating the league's policy on performance enhancing drugs,#VALUE!,Von Miller
8/21/2013,Texans,,• Antonio Smith (DeShonta),suspended by NFL for 2 preseason games and 1 regular season game,#VALUE!,Antonio Smith (DeShonta)
8/26/2013,Vikings,,• Jerome Felton,suspended by NFL for 3 games for violating the league's substance abuse policy,#VALUE!,Jerome Felton
8/26/2013,Jets,,• Mike Goodson,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Mike Goodson
8/30/2013,Bengals,,• DeQuin Evans,suspended by NFL for 8 games for violating the league's substance abuse policy,#VALUE!,DeQuin Evans
8/31/2013,49ers,,• Demarcus Dobbs,placed on reserve/suspended list,#VALUE!,Demarcus Dobbs
8/31/2013,Bengals,,• DeQuin Evans,placed on reserve/suspended list,#VALUE!,DeQuin Evans
8/31/2013,Broncos,,• Von Miller,placed on reserve/suspended list,#VALUE!,Von Miller
8/31/2013,Browns,,• Josh Gordon,placed on reserve/suspended list,#VALUE!,Josh Gordon
8/31/2013,Cardinals,,• Daryl Washington,placed on reserve/suspended list,#VALUE!,Daryl Washington
8/31/2013,Colts,,• LaVon Brazill,placed on reserve/suspended list,#VALUE!,LaVon Brazill
8/31/2013,Giants,,• Will Hill III,placed on reserve/suspended list,#VALUE!,Will Hill III
8/31/2013,Jaguars,,• Justin Blackmon,placed on reserve/suspended list,#VALUE!,Justin Blackmon
8/31/2013,Rams,,• Jo-Lonn Dunbar,placed on reserve/suspended list,#VALUE!,Jo-Lonn Dunbar
8/31/2013,Ravens,,• Asa Jackson,placed on reserve/suspended list,#VALUE!,Asa Jackson
8/31/2013,Ravens,,• Christian Thompson,placed on reserve/suspended list,#VALUE!,Christian Thompson
8/31/2013,Redskins,,• Jarvis Jenkins,placed on reserve/suspended list,#VALUE!,Jarvis Jenkins
8/31/2013,Redskins,,• Rob Jackson,placed on reserve/suspended list,#VALUE!,Rob Jackson
8/31/2013,Seahawks,,• Bruce Irvin,placed on reserve/suspended list,#VALUE!,Bruce Irvin
8/31/2013,Vikings,,• Demarcus Love,placed on reserve/suspended list,#VALUE!,Demarcus Love
9/4/2013,,,• R.J. Mattes,suspended by NFL for 4 games,#VALUE!,R.J. Mattes
9/9/2013,49ers,• Demarcus Dobbs,,reinstated from suspension,Demarcus Dobbs,#VALUE!
9/9/2013,Chiefs,• Rokevious Watkins,,reinstated from suspension,Rokevious Watkins,#VALUE!
9/9/2013,Rams,• Isaiah Pead,,reinstated from suspension,Isaiah Pead,#VALUE!
9/10/2013,,,• Brandon McDonald,suspended by NFL for 2 games,#VALUE!,Brandon McDonald
9/10/2013,,,• Tom Zbikowski,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Tom Zbikowski
9/10/2013,Lions,,• Ndamukong Suh,fined $100K by NFL,#VALUE!,Ndamukong Suh
9/10/2013,Texans,• Antonio Smith (DeShonta),,reinstated from suspension,Antonio Smith (DeShonta),#VALUE!
9/16/2013,Buccaneers,,• Dashon Goldson,suspended by NFL for 1 games,#VALUE!,Dashon Goldson
9/16/2013,Browns,• Josh Gordon,,reinstated from suspension,Josh Gordon,#VALUE!
9/17/2013,,• Quentin Saulsberry,,reinstated from suspension,Quentin Saulsberry,#VALUE!
9/18/2013,,,• Jordan Roberts,suspended by NFL,#VALUE!,Jordan Roberts
9/18/2013,Redskins,,• Brandon Meriweather,"fined $42,000 by NFL",#VALUE!,Brandon Meriweather
9/18/2013,Buccaneers,• Dashon Goldson,,previous suspension overturned by NFL,Dashon Goldson,#VALUE!
9/18/2013,Buccaneers,,• Dashon Goldson,fined $100K by NFL,#VALUE!,Dashon Goldson
9/20/2013,Browns,,• Paul Kruger,"fined $7,875 by NFL",#VALUE!,Paul Kruger
9/20/2013,Buccaneers,,• Adrian Clayborn,"fined $21,000 by NFL",#VALUE!,Adrian Clayborn
9/20/2013,Buccaneers,,• Ahmad Black,"fined $21,000 by NFL",#VALUE!,Ahmad Black
9/20/2013,Eagles,,• DeMeco Ryans,"fined $21,000 by NFL",#VALUE!,DeMeco Ryans
9/20/2013,Jets,,• D'Brickashaw Ferguson,"fined $15,000 by NFL",#VALUE!,D'Brickashaw Ferguson
9/20/2013,Jets,,• Willie Colon,"fined $34,125 by NFL",#VALUE!,Willie Colon
9/20/2013,Patriots,,• Alfonzo Dennard,"fined $7,875 by NFL",#VALUE!,Alfonzo Dennard
9/20/2013,Patriots,,• Chandler Jones (James),"fined $15,750 by NFL",#VALUE!,Chandler Jones (James)
9/20/2013,Patriots,,• Vince Wilfork,"fined $7,875 by NFL",#VALUE!,Vince Wilfork
9/20/2013,Titans,,• Bernard Pollard,"fined $42,000 by NFL",#VALUE!,Bernard Pollard
9/20/2013,Titans,,• Jackie Battle,"fined $21,000 by NFL",#VALUE!,Jackie Battle
9/23/2013,Vikings,• Jerome Felton,,reinstated from suspension,Jerome Felton,#VALUE!
9/23/2013,Vikings,• Jerome Felton,,reinstated from reserve/suspended list,Jerome Felton,#VALUE!
9/25/2013,Cowboys,,• Dez Bryant,"fined $7,875 by NFL",#VALUE!,Dez Bryant
9/27/2013,Bengals,,• Vontaze Burfict,"fined $31,000 by NFL",#VALUE!,Vontaze Burfict
9/27/2013,Eagles,,• Alex Henery,"fined $15,750 by NFL",#VALUE!,Alex Henery
9/27/2013,Lions,,• Nick Fairley,"fined $10,000 by NFL",#VALUE!,Nick Fairley
9/27/2013,Panthers,,• Cam Newton (Jerrell),"fined $10,000 by NFL",#VALUE!,Cam Newton (Jerrell)
9/27/2013,Seahawks,,• Golden Tate (III),"fined $21,000 by NFL",#VALUE!,Golden Tate (III)
9/27/2013,Steelers,,• Antonio Brown (Tavaris),"fined $7,875 by NFL",#VALUE!,Antonio Brown (Tavaris)
9/27/2013,Steelers,,• Jonathan Dwyer,"fined $21,000 by NFL",#VALUE!,Jonathan Dwyer
9/27/2013,Texans,,• Whitney Mercilus,"fined $15,750 by NFL",#VALUE!,Whitney Mercilus
9/30/2013,,,• Braden Brown,suspended by NFL for 4 games,#VALUE!,Braden Brown
9/30/2013,Rams,• Jo-Lonn Dunbar,,reinstated from suspension,Jo-Lonn Dunbar,#VALUE!
9/30/2013,Cardinals,• Daryl Washington,,reinstated from suspension,Daryl Washington,#VALUE!
9/30/2013,Colts,• LaVon Brazill,,reinstated from suspension,LaVon Brazill,#VALUE!
9/30/2013,Giants,• Will Hill III,,reinstated from suspension,Will Hill III,#VALUE!
9/30/2013,Jaguars,• Justin Blackmon,,reinstated from suspension,Justin Blackmon,#VALUE!
9/30/2013,Jets,• Mike Goodson,,reinstated from suspension,Mike Goodson,#VALUE!
9/30/2013,Raiders,• Andre Holmes,,reinstated from suspension,Andre Holmes,#VALUE!
9/30/2013,Ravens,• Christian Thompson,,reinstated from suspension,Christian Thompson,#VALUE!
9/30/2013,Redskins,• Jarvis Jenkins,,reinstated from suspension,Jarvis Jenkins,#VALUE!
9/30/2013,Redskins,• Rob Jackson,,reinstated from suspension,Rob Jackson,#VALUE!
9/30/2013,Seahawks,• Bruce Irvin,,reinstated from suspension,Bruce Irvin,#VALUE!
9/30/2013,Vikings,• Demarcus Love,,reinstated from suspension,Demarcus Love,#VALUE!
10/1/2013,,• Gabe Miller,,reinstated from suspension,Gabe Miller,#VALUE!
10/1/2013,,• R.J. Mattes,,reinstated from suspension,R.J. Mattes,#VALUE!
10/1/2013,49ers,,• Donte Whitner,"fined $21,000 for hit on opposing player",#VALUE!,Donte Whitner
10/1/2013,Giants,• Brandon Collins,,reinstated from suspension,Brandon Collins,#VALUE!
10/5/2013,Jets,• Mike Goodson,,activated from exempt/commissioner permission list,Mike Goodson,#VALUE!
10/5/2013,Seahawks,• Bruce Irvin,,activated from roster exempt status,Bruce Irvin,#VALUE!
10/8/2013,,• Tom Zbikowski,,reinstated from suspension,Tom Zbikowski,#VALUE!
10/11/2013,Bills,,• Aaron Williams (b),"fined $21,000 by NFL",#VALUE!,Aaron Williams (b)
10/11/2013,Bills,,• Fred Jackson,"fined $7,875 by NFL",#VALUE!,Fred Jackson
10/11/2013,Cardinals,,• Daryl Washington,"fined $21,000 by NFL",#VALUE!,Daryl Washington
10/11/2013,Cowboys,,• George Selvie,"fined $7,875 by NFL",#VALUE!,George Selvie
10/11/2013,Giants,,• Will Hill III,"fined $15,750 by NFL",#VALUE!,Will Hill III
10/11/2013,Jets,,• Kellen Winslow Jr.,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Kellen Winslow Jr.
10/11/2013,Lions,,• Israel Idonije,"fined $15,750 by NFL",#VALUE!,Israel Idonije
10/11/2013,Packers,,• Jerron McMillian,"fined $15,750 by NFL",#VALUE!,Jerron McMillian
10/11/2013,Patriots,,• Brandon Spikes,"fined $7,875 by NFL",#VALUE!,Brandon Spikes
10/14/2013,Broncos,• Von Miller,,reinstated from suspension,Von Miller,#VALUE!
10/15/2013,,• Jordan Roberts,,reinstated from suspension,Jordan Roberts,#VALUE!
10/18/2013,49ers,,• Alex Boone,"fined $7,875 by NFL",#VALUE!,Alex Boone
10/18/2013,Bengals,,• Vontaze Burfict,"fined $7,875 by NFL",#VALUE!,Vontaze Burfict
10/18/2013,Cardinals,,• Alameda Ta'amu,"fined $10,000 by NFL",#VALUE!,Alameda Ta'amu
10/18/2013,Cardinals,,• Darnell Dockett,"fined $7,875 by NFL",#VALUE!,Darnell Dockett
10/18/2013,Cowboys,,• Cameron Lawrence,"fined $21,000 by NFL",#VALUE!,Cameron Lawrence
10/18/2013,Lions,,• Ndamukong Suh,"fined $31,500 by NFL",#VALUE!,Ndamukong Suh
10/18/2013,Packers,,• Jermichael Finley,"fined $15,750 by NFL",#VALUE!,Jermichael Finley
10/18/2013,Patriots,,• Brandon Spikes,"fined $10,500 by NFL",#VALUE!,Brandon Spikes
10/18/2013,Redskins,,• Perry Riley Jr.,"fined $15,750 by NFL",#VALUE!,Perry Riley Jr.
10/18/2013,Saints,,• Malcolm Jenkins,"fined $15,750 by NFL",#VALUE!,Malcolm Jenkins
10/18/2013,Titans,,• Michael Preston,"fined $7,875 by NFL",#VALUE!,Michael Preston
10/21/2013,Redskins,,• Brandon Meriweather,suspended by NFL for 2 games,#VALUE!,Brandon Meriweather
10/23/2013,Redskins,,• Brandon Meriweather,earlier suspension reduced from 2 games to 1 games,#VALUE!,Brandon Meriweather
10/25/2013,Broncos,,• Kevin Vickerson,"fined $10,000 by NFL",#VALUE!,Kevin Vickerson
10/25/2013,Panthers,,• Mike Mitchell (Bryant Edward),"fined $7,875 by NFL",#VALUE!,Mike Mitchell (Bryant Edward)
10/25/2013,Panthers,,• Steve Smith / Steve Smith Sr. (Latrall),"fined $7,875 by NFL",#VALUE!,Steve Smith / Steve Smith Sr. (Latrall)
10/25/2013,Patriots,,• Logan Ryan,"fined $10,000 by NFL",#VALUE!,Logan Ryan
10/25/2013,Rams,,• Brian Quick,"fined $7,875 by NFL",#VALUE!,Brian Quick
10/25/2013,Rams,,• Chris Long,"fined $15,750 by NFL",#VALUE!,Chris Long
10/25/2013,Rams,,• Harvey Dahl,"fined $7,875 by NFL",#VALUE!,Harvey Dahl
10/25/2013,Ravens,,• Elvis Dumervil,"fined $7,875 by NFL",#VALUE!,Elvis Dumervil
10/25/2013,Redskins,,• Brian Orakpo,"fined $15,750 by NFL",#VALUE!,Brian Orakpo
10/28/2013,Bengals,• DeQuin Evans,,reinstated from suspension,DeQuin Evans,#VALUE!
10/28/2013,Redskins,• Brandon Meriweather,,reinstated from suspension,Brandon Meriweather,#VALUE!
10/29/2013,,• Braden Brown,,reinstated from suspension,Braden Brown,#VALUE!
10/29/2013,Colts,• Weslye Saunders,,reinstated from suspension,Weslye Saunders,#VALUE!
11/1/2013,Bengals,,• Vontaze Burfict,"fined $21,000 by NFL",#VALUE!,Vontaze Burfict
11/1/2013,Bills,,• Mario Williams (a),"fined $7,875 by NFL",#VALUE!,Mario Williams (a)
11/1/2013,Broncos,,• Kevin Vickerson,"fined $7,875 by NFL",#VALUE!,Kevin Vickerson
11/1/2013,Broncos,,• Malik Jackson (Barron),"fined $7,875 by NFL",#VALUE!,Malik Jackson (Barron)
11/1/2013,Broncos,,• Wesley Woodyard,"fined $15,750 by NFL",#VALUE!,Wesley Woodyard
11/1/2013,Browns,,• Joe Haden,"fined $7,875 by NFL",#VALUE!,Joe Haden
11/1/2013,Falcons,,• Osi Umenyiora,"sined $15,750 by NFL",#VALUE!,Osi Umenyiora
11/1/2013,Falcons,,• William Moore,"fined $15,750 by NFL",#VALUE!,William Moore
11/1/2013,Jaguars,,• Justin Blackmon,suspended by NFL indefinitely for violation of the league's substance abuse policy,#VALUE!,Justin Blackmon
11/1/2013,Jets,,• David Nelson (b),"fined $7,875 by NFL",#VALUE!,David Nelson (b)
11/1/2013,Lions,,• Joseph Fauria,"fined $7,875 by NFL",#VALUE!,Joseph Fauria
11/1/2013,Seahawks,,• Golden Tate (III),"fined $7,875 by NFL",#VALUE!,Golden Tate (III)
11/3/2013,Dolphins,,• Richie Incognito,suspended by team indefinitely for conduct detrimental to the team,#VALUE!,Richie Incognito
11/4/2013,Jets,• Kellen Winslow Jr.,,reinstated from suspension,Kellen Winslow Jr.,#VALUE!
11/4/2013,Ravens,• Asa Jackson,,reinstated from suspension,Asa Jackson,#VALUE!
11/8/2013,,,• Edwin Williams,suspended by NFL,#VALUE!,Edwin Williams
11/12/2013,Jaguars,,• LaRoy Reynolds,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,LaRoy Reynolds
11/12/2013,Jaguars,,• LaRoy Reynolds,placed on reserve/suspended list,#VALUE!,LaRoy Reynolds
11/18/2013,Buccaneers,,• Dashon Goldson,suspended by NFL for 1 games for violation of league's player safety rules,#VALUE!,Dashon Goldson
11/18/2013,Colts,,• Erik Walden,suspended by NFL for 1 games for violation of league player safety rules,#VALUE!,Erik Walden
11/19/2013,Buccaneers,,• Dashon Goldson,placed on reserve/suspended list,#VALUE!,Dashon Goldson
11/19/2013,Colts,,• Erik Walden,placed on reserve/suspended list,#VALUE!,Erik Walden
11/20/2013,49ers,,• Ahmad Brooks (Kadar),"fined $15,570 by NFL",#VALUE!,Ahmad Brooks (Kadar)
11/25/2013,Buccaneers,• Dashon Goldson,,reinstated from suspension,Dashon Goldson,#VALUE!
11/25/2013,Seahawks,,• Walter Thurmond III,suspended by NFL for 4 games,#VALUE!,Walter Thurmond III
11/25/2013,Colts,• Erik Walden,,reinstated from suspension,Erik Walden,#VALUE!
11/25/2013,Titans,,• Michael Griffin (Devin),suspended by NFL for 1 games for violation of player safety rules,#VALUE!,Michael Griffin (Devin)
11/25/2013,Titans,,• Michael Griffin (Devin),placed on reserve/suspended list,#VALUE!,Michael Griffin (Devin)
11/26/2013,Seahawks,,• Walter Thurmond III,placed on reserve/suspended list,#VALUE!,Walter Thurmond III
11/29/2013,,,• A.J. Jefferson (Ray),suspended by NFL for arrest on charged of felony domestic assault,#VALUE!,A.J. Jefferson (Ray)
12/2/2013,Titans,• Michael Griffin (Devin),,reinstated from suspension,Michael Griffin (Devin),#VALUE!
12/3/2013,,• Edwin Williams,,reinstated from suspension,Edwin Williams,#VALUE!
12/3/2013,Lions,,• Travis Lewis,suspended by NFL for 4 games for violating the league's policy on performance enhancing drugs,#VALUE!,Travis Lewis
12/3/2013,Lions,,• Travis Lewis,placed on reserve/suspended list,#VALUE!,Travis Lewis
12/4/2013,Steelers,,• Mike Tomlin,fined $100K by NFL for interering with the field of play,#VALUE!,Mike Tomlin
12/6/2013,Jaguars,• LaRoy Reynolds,,reinstated from suspension,LaRoy Reynolds,#VALUE!
12/18/2013,Seahawks,,• Brandon Browner,suspended by NFL indefinitely for violation of the league's substance abuse policy,#VALUE!,Brandon Browner
12/23/2013,Seahawks,• Walter Thurmond III,,reinstated from suspension,Walter Thurmond III,#VALUE!
12/24/2013,,• A.J. Jefferson (Ray),,reinstated from suspension,A.J. Jefferson (Ray),#VALUE!
12/27/2013,Seahawks,• Walter Thurmond III,,reinstated from suspended list,Walter Thurmond III,#VALUE!
12/30/2013,Lions,• Travis Lewis,,reinsated from suspension,Travis Lewis,#VALUE!
1/24/2014,Seahawks,,• Richard Sherman,"fined $7,875 by NFL",#VALUE!,Richard Sherman
2/4/2014,Dolphins,• Richie Incognito,,reinstated from suspension,Richie Incognito,#VALUE!
2/19/2014,Redskins,,• Fred Davis (Martin),suspended by NFL indefinitely for violation of the league's substance abuse policy,#VALUE!,Fred Davis (Martin)
3/4/2014,Seahawks,• Brandon Browner,,reinsatated from suspension,Brandon Browner,#VALUE!
3/5/2014,Seahawks,,• Brandon Browner,ssupended by NFL for 4 games,#VALUE!,Brandon Browner
4/4/2014,Eagles,,• Jake Knott,suspended by NFL for 4 games,#VALUE!,Jake Knott
4/8/2014,Redskins,,• Brandon Moore (c),suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Brandon Moore (c)
5/2/2014,Panthers,,• Frank Alexander,suspended by NFL for 4 games for violating the league's substance abuse policy,#VALUE!,Frank Alexander
5/5/2014,Redskins,• Tanard Jackson,,reinstated from suspension,Tanard Jackson,#VALUE!
